id,type,difficulty,edge_tag,n_gt_fields
step_response_000,step_response,clean,,7
step_response_001,step_response,clean,,7
step_response_002,step_response,clean,,7
step_response_003,step_response,clean,,7
step_response_004,step_response,clean,,7
step_response_005,step_response,clean,,7
step_response_006,step_response,clean,,7
step_response_007,step_response,clean,,7
step_response_008,step_response,clean,,7
step_response_009,step_response,moderate,,7
step_response_010,step_response,moderate,,7
step_response_011,step_response,moderate,,7
step_response_012,step_response,moderate,,7
step_response_013,step_response,edge,high_overshoot_low_damping,7
step_response_014,step_response,edge,near_critical_damping_small_overshoot,7
bode_magnitude_000,bode_magnitude,clean,,4
bode_magnitude_001,bode_magnitude,clean,,4
bode_magnitude_002,bode_magnitude,clean,,4
bode_magnitude_003,bode_magnitude,clean,,4
bode_magnitude_004,bode_magnitude,clean,,4
bode_magnitude_005,bode_magnitude,clean,,4
bode_magnitude_006,bode_magnitude,clean,,4
bode_magnitude_007,bode_magnitude,clean,,4
bode_magnitude_008,bode_magnitude,clean,,4
bode_magnitude_009,bode_magnitude,moderate,,4
bode_magnitude_010,bode_magnitude,moderate,,4
bode_magnitude_011,bode_magnitude,moderate,,4
bode_magnitude_012,bode_magnitude,moderate,,4
bode_magnitude_013,bode_magnitude,edge,sparse_log_ticks_wide_range,4
bode_magnitude_014,bode_magnitude,edge,sparse_log_ticks_wide_range,4
bode_phase_000,bode_phase,clean,,3
bode_phase_001,bode_phase,clean,,3
bode_phase_002,bode_phase,clean,,3
bode_phase_003,bode_phase,clean,,3
bode_phase_004,bode_phase,clean,,3
bode_phase_005,bode_phase,clean,,3
bode_phase_006,bode_phase,clean,,3
bode_phase_007,bode_phase,clean,,3
bode_phase_008,bode_phase,clean,,3
bode_phase_009,bode_phase,moderate,,3
bode_phase_010,bode_phase,moderate,,3
bode_phase_011,bode_phase,moderate,,3
bode_phase_012,bode_phase,moderate,,3
bode_phase_013,bode_phase,edge,sparse_log_phase_region,3
bode_phase_014,bode_phase,edge,sparse_log_phase_region,3
bandpass_response_000,bandpass_response,clean,,5
bandpass_response_001,bandpass_response,clean,,5
bandpass_response_002,bandpass_response,clean,,5
bandpass_response_003,bandpass_response,clean,,5
bandpass_response_004,bandpass_response,clean,,5
bandpass_response_005,bandpass_response,clean,,5
bandpass_response_006,bandpass_response,clean,,5
bandpass_response_007,bandpass_response,clean,,5
bandpass_response_008,bandpass_response,clean,,5
bandpass_response_009,bandpass_response,moderate,,5
bandpass_response_010,bandpass_response,moderate,,5
bandpass_response_011,bandpass_response,moderate,,5
bandpass_response_012,bandpass_response,moderate,,5
bandpass_response_013,bandpass_response,edge,high_Q_narrow_band_sparse,5
bandpass_response_014,bandpass_response,edge,high_Q_narrow_band_sparse,5
time_waveform_000,time_waveform,clean,,6
time_waveform_001,time_waveform,clean,,6
time_waveform_002,time_waveform,clean,,6
time_waveform_003,time_waveform,clean,,6
time_waveform_004,time_waveform,clean,,6
time_waveform_005,time_waveform,clean,,6
time_waveform_006,time_waveform,clean,,6
time_waveform_007,time_waveform,clean,,6
time_waveform_008,time_waveform,clean,,6
time_waveform_009,time_waveform,moderate,,6
time_waveform_010,time_waveform,moderate,,6
time_waveform_011,time_waveform,moderate,,6
time_waveform_012,time_waveform,moderate,,6
time_waveform_013,time_waveform,edge,short_window_low_cycles,6
time_waveform_014,time_waveform,edge,short_window_low_cycles,6
fft_spectrum_000,fft_spectrum,clean,,3
fft_spectrum_001,fft_spectrum,clean,,3
fft_spectrum_002,fft_spectrum,clean,,3
fft_spectrum_003,fft_spectrum,clean,,3
fft_spectrum_004,fft_spectrum,clean,,3
fft_spectrum_005,fft_spectrum,clean,,3
fft_spectrum_006,fft_spectrum,clean,,3
fft_spectrum_007,fft_spectrum,clean,,3
fft_spectrum_008,fft_spectrum,clean,,3
fft_spectrum_009,fft_spectrum,moderate,,3
fft_spectrum_010,fft_spectrum,moderate,,3
fft_spectrum_011,fft_spectrum,moderate,,3
fft_spectrum_012,fft_spectrum,moderate,,3
fft_spectrum_013,fft_spectrum,edge,close_peaks,3
fft_spectrum_014,fft_spectrum,edge,close_peaks,3
spectrogram_000,spectrogram,clean,,4
spectrogram_001,spectrogram,clean,,4
spectrogram_002,spectrogram,clean,,4
spectrogram_003,spectrogram,clean,,4
spectrogram_004,spectrogram,clean,,4
spectrogram_005,spectrogram,clean,,4
spectrogram_006,spectrogram,clean,,4
spectrogram_007,spectrogram,clean,,4
spectrogram_008,spectrogram,clean,,4
spectrogram_009,spectrogram,moderate,,4
spectrogram_010,spectrogram,moderate,,4
spectrogram_011,spectrogram,moderate,,4
spectrogram_012,spectrogram,moderate,,4
spectrogram_013,spectrogram,edge,close_freq_switch,4
spectrogram_014,spectrogram,edge,close_freq_switch,4
iv_curve_000,iv_curve,clean,,5
iv_curve_001,iv_curve,clean,,2
iv_curve_002,iv_curve,clean,,2
iv_curve_003,iv_curve,clean,,5
iv_curve_004,iv_curve,clean,,2
iv_curve_005,iv_curve,clean,,2
iv_curve_006,iv_curve,clean,,5
iv_curve_007,iv_curve,clean,,2
iv_curve_008,iv_curve,clean,,2
iv_curve_009,iv_curve,moderate,,5
iv_curve_010,iv_curve,moderate,,2
iv_curve_011,iv_curve,moderate,,2
iv_curve_012,iv_curve,moderate,,5
iv_curve_013,iv_curve,edge,shallow_slope_high_R,2
iv_curve_014,iv_curve,edge,shallow_slope_high_R,2
transfer_characteristic_000,transfer_characteristic,clean,,3
transfer_characteristic_001,transfer_characteristic,clean,,3
transfer_characteristic_002,transfer_characteristic,clean,,3
transfer_characteristic_003,transfer_characteristic,clean,,3
transfer_characteristic_004,transfer_characteristic,clean,,3
transfer_characteristic_005,transfer_characteristic,clean,,3
transfer_characteristic_006,transfer_characteristic,clean,,3
transfer_characteristic_007,transfer_characteristic,clean,,3
transfer_characteristic_008,transfer_characteristic,clean,,3
transfer_characteristic_009,transfer_characteristic,moderate,,3
transfer_characteristic_010,transfer_characteristic,moderate,,3
transfer_characteristic_011,transfer_characteristic,moderate,,3
transfer_characteristic_012,transfer_characteristic,moderate,,3
transfer_characteristic_013,transfer_characteristic,edge,high_gain_early_saturation,3
transfer_characteristic_014,transfer_characteristic,edge,high_gain_early_saturation,3
