provider,model,type,scope,field,n,pass_rate,mean_abs_err,median_abs_err,mean_rel_err,completeness,mean_latency_s
openai,gpt-4.1,bandpass_response,checkpoint,cp_f1_3db_hz,20,0.1,192.0,30.0,0.38166666666666665,1.0,2.630965161323547
openai,gpt-4.1,bandpass_response,checkpoint,cp_f2_3db_hz,20,0.2,294.0,80.0,0.24041666666666667,1.0,2.630965161323547
openai,gpt-4.1,bandpass_response,checkpoint,cp_q_factor,20,0.6,0.41909223606740664,0.18542272844309848,0.2786001006938511,1.0,2.630965161323547
openai,gpt-4.1,bandpass_response,final,__consistency__,20,0.3,0.7,1.0,,1.0,2.630965161323547
openai,gpt-4.1,bandpass_response,final,bandwidth_hz,20,0.1,485.0,120.0,0.6873462566844919,1.0,2.630965161323547
openai,gpt-4.1,bandpass_response,final,resonance_hz,20,0.4,81.6492639391604,36.52529514633687,0.13533177190546017,1.0,2.630965161323547
openai,gpt-4.1,bode_magnitude,checkpoint,cp_mag_at_fc_db,20,1.0,0.01956993495971777,0.010300000000000864,0.0029888943180426657,1.0,2.1013946652412416
openai,gpt-4.1,bode_magnitude,checkpoint,cp_slope_db_per_decade,20,1.0,0.0,0.0,0.0,1.0,2.1013946652412416
openai,gpt-4.1,bode_magnitude,final,__consistency__,20,1.0,0.0,0.0,,1.0,2.1013946652412416
openai,gpt-4.1,bode_magnitude,final,cutoff_hz,20,0.45,428.0,30.0,0.5,1.0,2.1013946652412416
openai,gpt-4.1,bode_magnitude,final,dc_gain_db,20,1.0,0.015449934959717915,0.02059991327962374,0.0020791834297394438,1.0,2.1013946652412416
openai,gpt-4.1,bode_phase,checkpoint,cp_phase_deg_at_fc,20,1.0,0.0,0.0,0.0,1.0,2.3467020392417908
openai,gpt-4.1,bode_phase,final,__consistency__,20,1.0,0.0,0.0,,1.0,2.3467020392417908
openai,gpt-4.1,bode_phase,final,cutoff_hz,20,1.0,0.0,0.0,0.0,1.0,2.3467020392417908
openai,gpt-4.1,bode_phase,final,phase_deg_at_10fc,20,0.9,2.589406862500357,0.28940686250035697,0.030720430465531752,1.0,2.3467020392417908
openai,gpt-4.1,fft_spectrum,checkpoint,cp_peak_ratio,20,0.1,0.0,0.0,0.0,0.09999999999999998,1.8035945415496826
openai,gpt-4.1,fft_spectrum,final,__consistency__,20,0.1,0.0,0.0,,1.0,1.8035945415496826
openai,gpt-4.1,fft_spectrum,final,dominant_frequency_hz,20,0.05,8.3984375,8.3984375,0.06057142857142857,0.09999999999999998,1.8035945415496826
openai,gpt-4.1,fft_spectrum,final,secondary_frequency_hz,20,0.05,8.59375,8.59375,0.08126984126984127,0.09999999999999998,1.8035945415496826
openai,gpt-4.1,iv_curve,checkpoint,cp_Is,10,0.0,,,,0.0,2.121538829803467
openai,gpt-4.1,iv_curve,checkpoint,cp_Rs,10,0.0,,,,0.0,2.121538829803467
openai,gpt-4.1,iv_curve,checkpoint,cp_nVt,10,0.0,,,,0.0,2.121538829803467
openai,gpt-4.1,iv_curve,checkpoint,cp_slope_ohm,10,1.0,0.11000000000000014,0.0,0.002340425531914897,1.0,1.8504002094268799
openai,gpt-4.1,iv_curve,checkpoint,target_current_a,10,0.6,0.0025,0.0,0.35,1.0,2.121538829803467
openai,gpt-4.1,iv_curve,final,__consistency__,20,0.5,0.0,0.0,,1.0,1.9859695196151734
openai,gpt-4.1,iv_curve,final,resistance_ohm,10,1.0,0.11000000000000014,0.0,0.002340425531914897,1.0,1.8504002094268799
openai,gpt-4.1,iv_curve,final,turn_on_voltage_v_at_target_i,10,0.7,0.19014302096280222,0.16312738573842667,0.16995662861241534,1.0,2.121538829803467
openai,gpt-4.1,pole_zero,checkpoint,cp_pole_imag,20,1.0,0.1444204393594754,0.14126474250108823,0.022496278262508423,1.0,2.0718674182891847
openai,gpt-4.1,pole_zero,checkpoint,cp_pole_real,20,0.85,0.49000000000000005,0.19999999999999996,0.23159722222222223,1.0,2.0718674182891847
openai,gpt-4.1,pole_zero,final,__consistency__,20,0.85,0.2,0.0,,1.0,2.0718674182891847
openai,gpt-4.1,pole_zero,final,wn_rad_s,20,1.0,0.22837000000000002,0.1849999999999996,0.03878416666666667,1.0,2.0718674182891847
openai,gpt-4.1,pole_zero,final,zeta,20,0.7,0.0939,0.04765,0.3140088888888889,1.0,2.0718674182891847
openai,gpt-4.1,spectrogram,checkpoint,cp_duration_s,20,0.0,0.8052631578947369,0.9,0.8052631578947369,0.95,3.07134370803833
openai,gpt-4.1,spectrogram,checkpoint,switch_time_s,20,1.0,0.025949451291306446,0.016312733238763255,0.05474897125832243,1.0,3.07134370803833
openai,gpt-4.1,spectrogram,final,__consistency__,20,0.15,0.8,1.0,,1.0,3.07134370803833
openai,gpt-4.1,spectrogram,final,f1_hz,20,0.9,2.0,0.0,0.025,1.0,3.07134370803833
openai,gpt-4.1,spectrogram,final,f2_hz,20,0.7,8.5,0.0,0.10625,1.0,3.07134370803833
openai,gpt-4.1,step_response,checkpoint,cp_band_lower,20,1.0,0.0,0.0,0.0,1.0,3.393281304836273
openai,gpt-4.1,step_response,checkpoint,cp_band_upper,20,1.0,0.0,0.0,0.0,1.0,3.393281304836273
openai,gpt-4.1,step_response,checkpoint,cp_peak_time_s,20,1.0,0.036996972146310717,0.017512527727730293,0.0788200112303599,1.0,3.393281304836273
openai,gpt-4.1,step_response,checkpoint,cp_peak_value,20,1.0,0.007741659341134066,0.006966465178419368,0.005989943586312596,1.0,3.393281304836273
openai,gpt-4.1,step_response,final,__consistency__,20,1.0,0.0,0.0,,1.0,3.393281304836273
openai,gpt-4.1,step_response,final,percent_overshoot,20,1.0,0.7741659341134094,0.6966465178419519,0.03544144209786504,1.0,3.393281304836273
openai,gpt-4.1,step_response,final,settling_time_s,20,0.35,0.8558333333333333,0.4722222222222222,0.6032500000000001,1.0,3.393281304836273
openai,gpt-4.1,step_response,final,steady_state,20,1.0,0.0,0.0,0.0,1.0,3.393281304836273
openai,gpt-4.1,time_waveform,checkpoint,cp_duty,5,0.2,0.13309836723284416,0.15439832340273824,0.3190384456568879,1.0,3.082487201690674
openai,gpt-4.1,time_waveform,checkpoint,cp_period_s,20,0.95,0.026484999999999998,0.0,0.1081,1.0,2.6950326442718504
openai,gpt-4.1,time_waveform,checkpoint,cp_vmax_v,20,1.0,0.0,0.0,0.0,1.0,2.6950326442718504
openai,gpt-4.1,time_waveform,checkpoint,cp_vmin_v,20,1.0,0.0,0.0,0.0,1.0,2.6950326442718504
openai,gpt-4.1,time_waveform,final,__consistency__,20,0.9,0.1,0.0,,1.0,2.6950326442718504
openai,gpt-4.1,time_waveform,final,frequency_hz,20,0.8,6.5125,0.0,0.11645833333333333,1.0,2.6950326442718504
openai,gpt-4.1,time_waveform,final,vpp_v,20,1.0,0.0,0.0,0.0,1.0,2.6950326442718504
openai,gpt-4.1,transfer_characteristic,checkpoint,cp_vin_at_saturation,20,1.0,0.0,0.0,0.0,1.0,1.7402291417121887
openai,gpt-4.1,transfer_characteristic,final,__consistency__,20,0.9,0.1,0.0,,1.0,1.7402291417121887
openai,gpt-4.1,transfer_characteristic,final,saturation_v,20,1.0,0.0,0.0,0.0,1.0,1.7402291417121887
openai,gpt-4.1,transfer_characteristic,final,small_signal_gain,20,0.9,0.05,0.0,0.1,1.0,1.7402291417121887
